Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,No. of Trades
INFY,EQ,25-Jun-19,745.5,744,750.9,737.3,745.45,748.1,744.67,3677911,2738811697,118947
INFY,EQ,26-Jun-19,748.1,743,751.45,738,739.4,739.2,743.56,5447130,4050265777,98489
INFY,EQ,27-Jun-19,739.2,742,744.7,728.15,731.7,730.55,733.31,11122346,8156165447,145135
INFY,EQ,28-Jun-19,730.55,735.5,739.5,728.5,731.7,732,732.85,5919494,4338124834,116890
INFY,EQ,01-Jul-19,732,735,737.5,729.85,731.7,731.3,733.32,3224968,2364922428,101260
INFY,EQ,02-Jul-19,731.3,734,741.65,730.1,739.5,740,734.99,4837606,3555605380,88954
INFY,EQ,03-Jul-19,740,741,743.2,730,731.7,731.3,736.8,5958379,4390116575,133416
INFY,EQ,04-Jul-19,731.3,729,736.4,728.6,732.5,733.8,733.38,3274064,2401148622,97167
INFY,EQ,05-Jul-19,733.8,735,736.4,713.5,718,718,723.71,4926289,3565194468,113048
INFY,EQ,08-Jul-19,718,716.45,724.95,712.3,717.2,717.6,717.2,7177092,5147414056,111837
INFY,EQ,09-Jul-19,717.6,718,719.85,709.05,713.8,715.5,713.79,5022638,3585086283,121716
INFY,EQ,10-Jul-19,715.5,709,722.7,706.5,717.55,717.25,716.16,7573816,5424075999,130598
INFY,EQ,11-Jul-19,717.25,719.45,723.5,709.6,722.4,721.5,716.61,6252688,4480742890,104709
INFY,EQ,12-Jul-19,721.5,722.5,730.6,719.6,730.05,726.75,724.08,7874441,5701708861,122936
INFY,EQ,15-Jul-19,726.75,763,781.65,754.2,779.4,779.35,769.12,31064152,23891946222,665352
INFY,EQ,16-Jul-19,779.35,777,787.8,776,782.9,784.85,782.56,9924322,7766341596,231682
INFY,EQ,17-Jul-19,784.85,783.9,795,776.75,794,794.15,789.65,6754348,5333567144,159078
INFY,EQ,18-Jul-19,794.15,789.05,798.5,786.2,791.75,792.7,793.85,6534471,5187412944,148380
INFY,EQ,19-Jul-19,792.7,788.7,794.5,781.25,785,785.4,786.53,6812754,5358405148,96268
